sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-13 08:15:51 +0000,2023-06-15 12:58:50 +0000,momentaryLimit,19719.7 s,88.6363 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-15 12:58:50 +0000,2023-06-16 10:48:19 +0000,momentaryLimit,7054.86 s,93.1024 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-16 10:48:19 +0000,2023-06-17 13:52:25 +0000,momentaryLimit,5860.81 s,93.9047 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-17 13:52:25 +0000,2023-06-18 21:42:09 +0000,momentaryLimit,5830.92 s,93.9272 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-18 21:42:09 +0000,2023-06-20 21:50:28 +0000,momentaryLimit,6289.99 s,93.5982 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-20 21:50:28 +0000,2023-06-22 14:07:58 +0000,momentaryLimit,12262.8 s,90.7001 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-22 14:07:58 +0000,2023-06-24 13:38:08 +0000,momentaryLimit,16260.5 s,89.475 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-24 13:38:08 +0000,2023-06-25 20:30:06 +0000,momentaryLimit,25626.3 s,87.4987 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-25 20:30:06 +0000,2023-06-27 00:08:46 +0000,momentaryLimit,14951.6 s,89.8771 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-27 00:08:46 +0000,2023-06-27 21:16:53 +0000,momentaryLimit,7512.42 s,92.8603 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-27 21:16:53 +0000,2023-06-28 20:38:42 +0000,momentaryLimit,15862.8 s,89.5817 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-28 20:38:42 +0000,2023-07-01 13:47:31 +0000,momentaryLimit,14852.8 s,89.8664 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-01 13:47:31 +0000,2023-07-02 21:03:55 +0000,momentaryLimit,10543.4 s,91.3575 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-02 21:03:55 +0000,2023-07-03 20:22:23 +0000,momentaryLimit,5455.31 s,94.2159 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-03 20:22:23 +0000,2023-07-05 04:04:01 +0000,momentaryLimit,9143.95 s,91.9728 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-05 04:04:01 +0000,2023-07-06 20:12:15 +0000,momentaryLimit,16578.8 s,89.3906 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-06 20:12:15 +0000,2023-07-07 20:29:29 +0000,momentaryLimit,7420.13 s,92.8799 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-07 20:29:29 +0000,2023-07-08 23:10:41 +0000,momentaryLimit,10350.9 s,91.435 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-08 23:10:41 +0000,2023-07-10 15:06:16 +0000,momentaryLimit,6455.74 s,93.4847 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-10 15:06:16 +0000,2023-07-10 20:12:08 +0000,momentaryLimit,7770.83 s,92.6812 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-10 20:12:08 +0000,2023-07-12 20:21:23 +0000,momentaryLimit,9169.37 s,91.9608 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-12 20:21:23 +0000,2023-07-13 20:16:28 +0000,momentaryLimit,9071.82 s,92.0124 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-13 20:16:28 +0000,2023-07-15 13:41:12 +0000,momentaryLimit,10038 s,91.57 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-15 13:41:12 +0000,2023-07-16 14:14:31 +0000,momentaryLimit,7807.09 s,92.66 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-16 14:14:31 +0000,2023-07-18 20:20:23 +0000,momentaryLimit,9854.38 s,91.6486 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-18 20:20:23 +0000,2023-07-19 14:14:13 +0000,momentaryLimit,6597.44 s,93.3905 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-19 14:14:13 +0000,2023-07-20 13:19:43 +0000,momentaryLimit,7148.29 s,93.0439 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-20 13:19:43 +0000,2023-07-21 14:05:39 +0000,momentaryLimit,6596.62 s,93.3976 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-07-21 14:05:39 +0000,2023-07-22 20:34:29 +0000,momentaryLimit,16360.8 s,89.4457 dBASPL
